GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,POP1990,POP2000,POP2010,POP2020,Wht1990,Wht2000,Wht2010,Wht2020,Blk1990,Blk2000,Blk2010,Blk2020,AmIn1990,AmIn2000,AmIn2010,AmIn2020,Asn1990,Asn2000,Asn2010,Asn2020,PacIs1990,PacIs2000,PacIs2010,PacIs2020,Othr1990,Othr2000,Othr2010,Othr2020,TwoR1990,TwoR2000,TwoR2010,TwoR2020,Lat1990,Lat2000,Lat2010,Lat2020
G4700370010801,2010,Tennessee,47,Davidson County,37,10801,4788.18,5227.2,5363,5703,4093.34,3553.5,2665,2346,623.85,1390.73,2090,2125,2,9,19,31,55.99,96.99,92,88,1,0,5,0,12,80,367,625,0,96.98,125,488,44.99,144.99,623,1037
G4700370010802,2010,Tennessee,47,Davidson County,37,10802,3373,3031,3274,3346.13,3104,2500,2235,1981.92,241,440,805,813.52,7,4,9,23,14,38,45,69,3,2,3,3,4,26,120,217.6,0,21,57,238.09,32,58,206,392.78
G4700370010901,2010,Tennessee,47,Davidson County,37,10901,2814,2961,2952,3305,2488,2034,1727,1524,310,812,1029,1211,2,9,7,23,6,11,31,25,0,9,0,0,8,50,100,309,0,36,58,213,19,105,185,511
G4700370010903,2010,Tennessee,47,Davidson County,37,10903,3952.27,4918,4810,5858,953.44,739,607,668,2972.51,4034,3890,4442,6,7,3,28,11.45,35,8,46,0,0,6,11,8.87,30,196,372,0,73,100,291,29.11,63,353,558
G4700370010904,2010,Tennessee,47,Davidson County,37,10904,2759.76,2736.03,2888,2931,502.57,300.01,246,326,2251.51,2379.02,2567,2396,0,7,14,15,1.55,8,3,5,0,0,1,1,4.13,14,30,88,0,28,27,100,30.89,2,37,143
G4700370011001,2010,Tennessee,47,Davidson County,37,11001,5809.48,6343.52,5953,6540,3226.41,2639.32,1853,1983,2501.06,3276.19,3371,2815,11,21,25,61,55.01,107,131,106,0,1,5,2,16,195,409,1055,0,104,159,518,43,316.01,613,1564
G4700370011002,2010,Tennessee,47,Davidson County,37,11002,2168.49,2370.45,2643,2639.05,1832.58,1555.67,1264,1338,308.93,731.79,1216,974.23,0,5,4,5,20.98,28,42,42.07,0,0,0,0,6,22.99,62,90.22,0,27,55,189.52,2,41.99,133,200.29
G4700370011100,2010,Tennessee,47,Davidson County,37,11100,4118.07,4219.1,3921,3956.11,3896.07,3695.1,3210,3233.79,178,337,445,258,10,26,11,8,26,44,53,78.95,0,0,1,3,8,51,105,95.78,0,66,96,278.59,43,82,239,234.76
G4700370011200,2010,Tennessee,47,Davidson County,37,11200,4674,4406,4133,4334.84,4061,3287,2998,3379.21,544,934,888,461.77,32,24,22,9,29,36,28,53.98,0,0,2,0,8,44,105,92,0,81,90,338.88,46,113,188,241.95
G4700370011300,2010,Tennessee,47,Davidson County,37,11300,5402.24,5514.17,5317,5152,3441.13,2641.04,2043,2211,1887.1,2415.13,2300,1502,12,17,18,72,38,58,53,79,3,1,1,0,21,232,733,717,0,150,169,571,45,431,1006,1325
